sentance,list,senId,userFieldName,id
The birch canoe slid on the smooth planks,1,sn_1,q1,list1-q1
Glue the sheet to the dark blue background,1,sn_2,q2,list1-q2
Its easy to tell the depth of a well,1,sn_3,q3,list1-q3
These days a chicken leg is a rare dish,1,sn_4,q4,list1-q4
Rice is often served in round bowls,1,sn_5,q5,list1-q5
The juice of lemons makes fine punch,1,sn_6,q6,list1-q6
The box was thrown beside the parked truck,1,sn_7,q7,list1-q7
The hogs were fed chopped corn and garbage,1,sn_8,q8,list1-q8
Four hours of steady work faced us,1,sn_9,q9,list1-q9
A large size in stockings is hard to sell,1,sn_10,q10,list1-q10
The boy was there when the sun rose,2,sn_11,q1,list2-q1
A rod is used to catch pink salmon,2,sn_12,q2,list2-q2
The source of the huge river is the clear spring,2,sn_13,q3,list2-q3
Kick the ball straight and follow through,2,sn_14,q4,list2-q4
Help the woman get back to her feet,2,sn_15,q5,list2-q5
A pot of tea helps to pass the evening,2,sn_16,q6,list2-q6
Smoky fires lack flame and heat,2,sn_17,q7,list2-q7
The soft cushion broke the mans fall,2,sn_18,q8,list2-q8
The salt breeze came across from the sea,2,sn_19,q9,list2-q9
The girl at the booth sold fifty bonds,2,sn_20,q10,list2-q10
The small pup gnawed a hole in the sock,3,sn_21,q1,list3-q1
The fish twisted and turned on the bent hook,3,sn_22,q2,list3-q2
Press the pants and sew a button on the vest,3,sn_23,q3,list3-q3
The swan dive was far short of perfect,3,sn_24,q4,list3-q4
The beauty of the view stunned the young boy,3,sn_25,q5,list3-q5
Two blue fish swam in the tank,3,sn_26,q6,list3-q6
Her purse was full of useless trash,3,sn_27,q7,list3-q7
The colt reared and threw the tall rider,3,sn_28,q8,list3-q8
It snowed rained and hailed the same morning,3,sn_29,q9,list3-q9
Read verse out loud for pleasure,3,sn_30,q10,list3-q10
Hoist the load to your left shoulder,4,sn_31,q1,list4-q1
Take the winding path to reach the lake,4,sn_32,q2,list4-q2
Note closely the size of the gas tank,4,sn_33,q3,list4-q3
Wipe the grease off his dirty face,4,sn_34,q4,list4-q4
Mend the coat before you go out,4,sn_35,q5,list4-q5
The wrist was badly strained and hung limp,4,sn_36,q6,list4-q6
The stray cat gave birth to kittens,4,sn_37,q7,list4-q7
The young girl gave no clear response,4,sn_38,q8,list4-q8
The meal was cooked before the bell rang,4,sn_39,q9,list4-q9
What joy there is in living,4,sn_40,q10,list4-q10
A king ruled the state in the early days,5,sn_41,q1,list5-q1
The ship was torn apart on the sharp reef,5,sn_42,q2,list5-q2
Sickness kept him home the third week,5,sn_43,q3,list5-q3
The wide road shimmered in the hot sun,5,sn_44,q4,list5-q4
The lazy cow lay in the cool grass,5,sn_45,q5,list5-q5
Lift the square stone over the fence,5,sn_46,q6,list5-q6
The rope will bind the seven books at once,5,sn_47,q7,list5-q7
Hop over the fence and plunge in,5,sn_48,q8,list5-q8
The friendly gang left the drug store,5,sn_49,q9,list5-q9
Mesh wire keeps chicks inside,5,sn_50,q10,list5-q10
The frosty air passed through the coat,6,sn_51,q1,list6-q1
The crooked maze failed to fool the mouse,6,sn_52,q2,list6-q2
Adding fast leads to wrong sums,6,sn_53,q3,list6-q3
The show was a flop from the very start,6,sn_54,q4,list6-q4
A saw is a tool used for making boards,6,sn_55,q5,list6-q5
The wagon moved on well oiled wheels,6,sn_56,q6,list6-q6
March the soldiers past the next hill,6,sn_57,q7,list6-q7
A cup of sugar makes sweet fudge,6,sn_58,q8,list6-q8
Place a rosebush near the porch steps,6,sn_59,q9,list6-q9
Both lost their lives in the raging storm,6,sn_60,q10,list6-q10
We talked of the side show in the circus,7,sn_61,q1,list7-q1
Use a pencil to write the first draft,7,sn_62,q2,list7-q2
He ran half way to the hardware store,7,sn_63,q3,list7-q3
The clock struck to mark the third period,7,sn_64,q4,list7-q4
A small creek cut across the field,7,sn_65,q5,list7-q5
Cars and busses stalled in snow drifts,7,sn_66,q6,list7-q6
The set of china hit the floor with a crash,7,sn_67,q7,list7-q7
This is a grand season for hikes on the road,7,sn_68,q8,list7-q8
